epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.422,0.54885,0.84099,1.09225,0.99567,0.99524,0.99433,0.90715,0.41391,0.39679,1.00903,0.00332922,0.00332922,0.00332922
2,207.541,0.56525,0.45343,1.07775,0.99628,0.99433,0.99491,0.89672,0.45277,0.32633,1.05622,0.00653063,0.00653063,0.00653063
3,306.327,0.60768,0.41524,1.09906,0.98033,0.99197,0.9931,0.85601,0.54687,0.39731,1.13908,0.00960005,0.00960005,0.00960005
4,401.66,0.61316,0.39527,1.10359,0.98894,0.99502,0.9948,0.90058,0.455,0.2864,1.05106,0.009406,0.009406,0.009406
5,497.329,0.57975,0.3588,1.08595,0.98856,0.99444,0.99461,0.89758,0.43941,0.29974,1.04394,0.009208,0.009208,0.009208
6,592.644,0.55969,0.34475,1.07455,0.99752,0.99567,0.99488,0.91735,0.41141,0.23727,1.0078,0.00901,0.00901,0.00901
7,688.504,0.53601,0.32239,1.06189,0.99408,0.99815,0.9949,0.92707,0.40501,0.23758,1.00267,0.008812,0.008812,0.008812
8,783.949,0.5258,0.31083,1.05664,0.99506,0.99677,0.99498,0.93297,0.39133,0.23064,0.99311,0.008614,0.008614,0.008614
9,879.175,0.51418,0.30247,1.04952,0.9956,0.99815,0.99492,0.93552,0.37879,0.21802,0.98006,0.008416,0.008416,0.008416
10,974.744,0.50552,0.2949,1.04749,0.99568,0.99686,0.99496,0.93764,0.37087,0.2117,0.97116,0.008218,0.008218,0.008218
11,1069.62,0.49727,0.28898,1.04069,0.99147,0.99753,0.99472,0.93087,0.38025,0.22275,0.97921,0.00802,0.00802,0.00802
12,1164.79,0.49203,0.28503,1.03992,0.99495,0.99876,0.99494,0.93918,0.366,0.20427,0.96276,0.007822,0.007822,0.007822
13,1259.96,0.48599,0.27818,1.03585,0.99397,0.99876,0.99493,0.94171,0.35695,0.19611,0.95445,0.007624,0.007624,0.007624
14,1355.23,0.47896,0.27461,1.0306,0.99565,0.99938,0.99498,0.93955,0.36546,0.19713,0.96602,0.007426,0.007426,0.007426
15,1449.41,0.47298,0.2666,1.02633,0.99684,0.99876,0.99499,0.9378,0.36139,0.19303,0.96445,0.007228,0.007228,0.007228
16,1543.79,0.4698,0.26401,1.02485,0.99691,0.9981,0.99499,0.94619,0.35282,0.18656,0.95492,0.00703,0.00703,0.00703
17,1637.87,0.46628,0.26165,1.02282,0.99691,0.99823,0.99499,0.94809,0.34709,0.18635,0.95215,0.006832,0.006832,0.006832
18,1732.2,0.46062,0.25792,1.02236,0.99739,0.99938,0.99499,0.94763,0.35137,0.18415,0.94824,0.006634,0.006634,0.006634
19,1826.48,0.4584,0.25578,1.01984,0.99626,0.99876,0.99495,0.94157,0.34991,0.18192,0.95361,0.006436,0.006436,0.006436
20,1920.72,0.45118,0.25352,1.01551,0.99676,0.99876,0.99499,0.94617,0.34649,0.18068,0.94995,0.006238,0.006238,0.006238
21,2014.89,0.44705,0.24947,1.01541,0.99873,0.99815,0.99499,0.95069,0.34325,0.1842,0.95005,0.00604,0.00604,0.00604
22,2108.99,0.44776,0.24699,1.01314,0.99804,0.99938,0.99499,0.94999,0.33748,0.17342,0.9426,0.005842,0.005842,0.005842
23,2203.13,0.4442,0.24154,1.01214,0.99815,0.99832,0.99496,0.94789,0.34015,0.18163,0.94778,0.005644,0.005644,0.005644
24,2297.41,0.4403,0.24066,1.01216,0.99814,0.99762,0.99499,0.94886,0.33458,0.17189,0.94514,0.005446,0.005446,0.005446
25,2391.68,0.43833,0.23885,1.00856,0.99763,0.99815,0.99498,0.94967,0.33634,0.17085,0.94259,0.005248,0.005248,0.005248
26,2486.66,0.43805,0.23807,1.01156,0.99793,0.99938,0.99498,0.95064,0.3355,0.16795,0.94259,0.00505,0.00505,0.00505
27,2582.45,0.43506,0.23437,1.00931,0.99789,0.99938,0.99499,0.94726,0.33298,0.16311,0.94285,0.004852,0.004852,0.004852
28,2677.65,0.43135,0.23405,1.00862,0.99848,0.99876,0.99498,0.95045,0.3331,0.16892,0.93982,0.004654,0.004654,0.004654
29,2774.44,0.43124,0.23164,1.00675,0.99849,0.99815,0.99499,0.95204,0.33011,0.16135,0.93771,0.004456,0.004456,0.004456
30,2867.4,0.42686,0.22801,1.00317,0.99938,0.99875,0.995,0.95408,0.33132,0.1626,0.93914,0.004258,0.004258,0.004258
31,2962.01,0.42264,0.22589,1.00272,0.99906,0.99876,0.99499,0.95335,0.32703,0.15847,0.93603,0.00406,0.00406,0.00406
32,3055.13,0.42255,0.22553,1.00138,0.99702,0.99938,0.995,0.95365,0.32534,0.16009,0.93381,0.003862,0.003862,0.003862
33,3148.53,0.41802,0.22293,0.99827,0.99692,0.99861,0.995,0.9542,0.32701,0.1609,0.93394,0.003664,0.003664,0.003664
34,3241.4,0.41694,0.21985,0.99885,0.998,0.99876,0.99496,0.95415,0.32047,0.15522,0.93067,0.003466,0.003466,0.003466
35,3334.63,0.41114,0.21869,0.99618,0.99938,0.9985,0.99499,0.95273,0.3239,0.15874,0.93287,0.003268,0.003268,0.003268
36,3427.52,0.41191,0.21652,0.99712,0.99815,0.99836,0.99499,0.95483,0.32011,0.15228,0.93133,0.00307,0.00307,0.00307
37,3521.01,0.40691,0.21344,0.99436,0.9975,0.99938,0.99498,0.95361,0.31935,0.15282,0.93015,0.002872,0.002872,0.002872
38,3613.68,0.40453,0.21197,0.99315,0.99685,0.99938,0.99499,0.95427,0.31835,0.15394,0.92901,0.002674,0.002674,0.002674
39,3706.68,0.40039,0.20921,0.98841,0.99729,0.99876,0.99497,0.95482,0.31941,0.15473,0.9303,0.002476,0.002476,0.002476
40,3800.16,0.40028,0.207,0.99127,0.99793,0.99876,0.99499,0.95504,0.31851,0.1505,0.92904,0.002278,0.002278,0.002278
41,3911.17,0.29754,0.16234,0.94179,0.99811,0.99815,0.99499,0.95528,0.31973,0.15113,0.93068,0.00208,0.00208,0.00208
42,4003.29,0.29361,0.15971,0.93999,0.99753,0.99922,0.99499,0.95554,0.31675,0.15133,0.92794,0.001882,0.001882,0.001882
43,4095.49,0.29118,0.15389,0.94037,0.99745,0.99938,0.99499,0.95623,0.31437,0.14748,0.92552,0.001684,0.001684,0.001684
44,4187.57,0.28742,0.15029,0.93382,0.99862,0.99876,0.99499,0.95601,0.31331,0.14529,0.92466,0.001486,0.001486,0.001486
45,4279.96,0.28478,0.14903,0.93456,0.99868,0.99876,0.99499,0.95715,0.31339,0.14406,0.92466,0.001288,0.001288,0.001288
46,4373.43,0.2823,0.14688,0.92931,0.99938,0.9987,0.99499,0.95899,0.31199,0.14437,0.92472,0.00109,0.00109,0.00109
47,4465.81,0.27762,0.14202,0.92642,0.99873,0.99876,0.995,0.9571,0.31042,0.14356,0.92353,0.000892,0.000892,0.000892
48,4558.01,0.27696,0.13821,0.92799,0.99923,0.99876,0.995,0.95678,0.31151,0.14158,0.92454,0.000694,0.000694,0.000694
49,4659.67,0.27204,0.13438,0.92342,0.99917,0.99876,0.995,0.95708,0.31166,0.1411,0.92496,0.000496,0.000496,0.000496
50,4754.48,0.26903,0.13215,0.92535,0.99912,0.99876,0.995,0.95713,0.31213,0.14086,0.92622,0.000298,0.000298,0.000298
