epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,750.59,1.17738,1.43234,1.0935,0.26871,0.30294,0.23958,0.17229,1.67966,2.92401,1.44193,0.00333269,0.00333269,0.00333269
2,1444.78,0.94392,0.76751,0.96924,0.26394,0.315,0.22738,0.1538,1.72136,3.27493,1.48044,0.00600608,0.00600608,0.00600608
3,2125.46,0.89971,0.64295,0.95294,0.23094,0.2813,0.20785,0.14823,1.74224,3.5776,1.48253,0.00801948,0.00801948,0.00801948
4,2804.53,0.84646,0.5593,0.93484,0.23155,0.30026,0.21151,0.15386,1.73017,3.61002,1.4639,0.00703,0.00703,0.00703
5,3483.16,0.77651,0.48922,0.91047,0.28188,0.29081,0.22781,0.16291,1.75164,3.92965,1.46121,0.00604,0.00604,0.00604
6,4162.28,0.72783,0.44552,0.89385,0.25886,0.29751,0.2184,0.15834,1.74039,4.00325,1.4383,0.00505,0.00505,0.00505
7,4840.8,0.6903,0.41445,0.88248,0.26979,0.2907,0.22567,0.16273,1.75488,4.11477,1.445,0.00406,0.00406,0.00406
8,5519.75,0.65651,0.3873,0.87245,0.26298,0.28591,0.22206,0.15896,1.77645,4.25262,1.46535,0.00307,0.00307,0.00307
9,6198.8,0.62376,0.36321,0.86373,0.26657,0.27258,0.21825,0.15588,1.7833,4.29353,1.46773,0.00208,0.00208,0.00208
10,6878.22,0.59115,0.34137,0.85527,0.25821,0.27312,0.21352,0.15243,1.79882,4.33926,1.47893,0.00109,0.00109,0.00109
